iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,val_rmse
500,4,0.01,7,0.0,0.081298
300,4,0.1,5,1.0,0.081905
200,4,0.01,1,1.0,0.08871
100,8,0.01,1,0.0,0.112888
500,10,0.01,1,0.5,0.079108
300,6,0.01,7,0.0,0.082166
200,10,0.1,1,1.0,0.080991
500,4,0.01,1,0.5,0.081078
300,4,0.2,1,0.0,0.083631
300,6,0.2,7,0.5,0.081322
100,6,0.01,5,0.5,0.116048
100,8,0.01,3,0.5,0.114697
100,6,0.05,1,1.0,0.082011
300,4,0.1,3,0.5,0.081051
200,10,0.01,7,1.0,0.090759
100,8,0.05,3,0.0,0.079754
200,6,0.05,1,1.0,0.082041
500,8,0.1,5,1.0,0.080576
500,6,0.01,3,0.0,0.080656
500,10,0.05,3,0.5,0.079619
100,8,0.2,7,1.0,0.081744
500,6,0.01,7,0.5,0.08051
100,10,0.2,5,0.5,0.078955
500,4,0.2,7,0.5,0.084007
500,8,0.01,3,0.5,0.079391
200,6,0.05,3,0.0,0.081174
100,6,0.1,3,1.0,0.081823
300,6,0.05,7,0.0,0.080868
300,10,0.01,3,0.5,0.081227
100,6,0.01,3,0.0,0.115455
100,4,0.05,3,0.0,0.080739
500,10,0.1,5,0.0,0.079725
200,6,0.01,1,1.0,0.087426
100,6,0.2,1,0.5,0.085295
200,4,0.05,3,0.5,0.080486
300,10,0.05,3,0.5,0.079065
500,8,0.1,7,0.0,0.081468
100,8,0.05,1,0.5,0.079735
300,6,0.01,7,0.5,0.082166
500,6,0.1,3,0.0,0.081683
300,10,0.2,3,0.5,0.079994
500,10,0.1,5,0.5,0.079725
100,6,0.2,1,0.0,0.085295
300,8,0.2,7,0.0,0.082509
100,4,0.01,1,0.5,0.116196
200,4,0.01,5,0.5,0.088958
500,8,0.01,5,0.5,0.079398
300,6,0.2,5,0.0,0.083216
300,4,0.05,3,1.0,0.0808
300,8,0.05,3,0.0,0.080092
200,4,0.2,3,0.5,0.084627
500,8,0.01,1,0.5,0.07931
500,4,0.01,1,0.0,0.081078
200,10,0.05,5,1.0,0.078829
200,10,0.2,1,1.0,0.079743
300,8,0.05,1,1.0,0.080225
500,8,0.05,7,0.5,0.079861
300,10,0.1,1,0.5,0.08094
500,10,0.01,1,0.0,0.079108
200,6,0.01,7,0.0,0.088594
100,6,0.1,5,0.5,0.081066
100,8,0.01,1,0.5,0.112888
100,10,0.01,5,0.5,0.119994
300,10,0.01,1,0.0,0.080073
100,4,0.1,3,1.0,0.081018
500,8,0.1,3,0.0,0.080638
200,10,0.2,3,0.5,0.079922
200,6,0.2,1,0.5,0.086215
100,4,0.1,5,0.5,0.081438
300,10,0.2,5,0.5,0.080239
100,10,0.05,3,0.5,0.079243
500,6,0.01,3,0.5,0.080656
500,10,0.2,7,0.0,0.080313
200,8,0.01,7,1.0,0.088785
200,6,0.01,3,0.5,0.087792
500,6,0.01,1,1.0,0.080788
