n_estimators,max_depth,learning_rate,min_samples_split,val_rmse
500,5,0.01,2,0.076502
500,5,0.01,5,0.076511
500,5,0.01,10,0.076273
500,5,0.05,2,0.079009
500,5,0.05,5,0.079794
500,5,0.05,10,0.078937
500,5,0.1,2,0.079495
500,5,0.1,5,0.08004
500,5,0.1,10,0.079291
500,5,0.2,2,0.081066
500,5,0.2,5,0.080336
500,5,0.2,10,0.079413
500,6,0.01,2,0.07849
500,6,0.01,5,0.078711
500,6,0.01,10,0.078618
500,6,0.05,2,0.078624
500,6,0.05,5,0.079459
500,6,0.05,10,0.078813
500,6,0.1,2,0.08101
500,6,0.1,5,0.081522
500,6,0.1,10,0.080633
500,6,0.2,2,0.081031
500,6,0.2,5,0.07956
500,6,0.2,10,0.083152
