n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,val_rmse
200,6,0.01,0.7,0.6,1.0,2.0,0.088702
300,3,0.05,0.6,1.0,1.0,1.0,0.078689
300,4,0.2,0.7,0.6,0.0,1.0,0.084361
300,3,0.1,0.6,1.0,1.0,2.0,0.0804
100,5,0.05,0.6,1.0,0.0,1.5,0.078325
200,3,0.1,1.0,0.6,0.1,2.0,0.078742
200,3,0.05,0.6,0.6,0.1,1.5,0.079171
100,4,0.01,1.0,0.8,0.0,2.0,0.11448
200,5,0.05,0.8,0.8,1.0,1.0,0.078777
100,3,0.05,0.8,0.8,0.0,1.5,0.07762
300,6,0.01,0.8,0.8,0.1,1.5,0.078562
300,5,0.1,0.6,0.6,0.0,1.5,0.07986
200,3,0.05,0.7,1.0,0.1,1.5,0.077753
300,6,0.01,0.8,0.8,0.1,2.0,0.078706
200,3,0.01,0.8,1.0,0.1,1.5,0.085826
100,3,0.01,0.8,0.6,0.1,1.5,0.116906
100,4,0.05,0.7,0.8,0.1,2.0,0.077541
500,4,0.05,0.8,1.0,0.0,2.0,0.080384
300,6,0.2,1.0,0.8,0.1,1.0,0.080842
100,4,0.01,0.7,1.0,0.1,2.0,0.114651
200,3,0.05,0.7,0.8,0.1,1.0,0.078219
100,4,0.05,0.6,0.8,0.1,1.0,0.077098
100,3,0.1,0.7,0.8,0.1,2.0,0.077473
200,5,0.05,0.6,0.6,1.0,1.0,0.078815
100,4,0.05,0.7,0.8,0.1,1.5,0.078071
300,4,0.1,1.0,1.0,1.0,2.0,0.078274
200,3,0.1,0.6,0.6,0.1,2.0,0.079868
200,4,0.05,0.6,0.8,0.1,1.5,0.079051
500,3,0.1,0.8,1.0,1.0,2.0,0.078755
300,4,0.01,1.0,0.6,1.0,1.5,0.080672
200,3,0.01,0.7,0.6,0.0,1.0,0.085596
100,5,0.1,0.6,0.6,0.1,1.0,0.079902
500,4,0.1,1.0,0.8,0.1,1.0,0.081294
300,5,0.2,0.7,0.6,1.0,1.0,0.079665
300,5,0.2,0.8,1.0,0.1,1.5,0.084095
300,3,0.2,1.0,0.8,0.0,2.0,0.079821
200,3,0.1,0.7,1.0,0.0,1.5,0.078028
500,5,0.2,0.8,0.6,0.0,1.5,0.082004
300,3,0.2,1.0,0.8,0.1,1.5,0.080688
500,6,0.05,0.7,0.6,0.0,1.0,0.080704
200,6,0.1,1.0,0.8,0.1,1.5,0.079823
100,6,0.1,0.7,1.0,0.0,2.0,0.080738
100,4,0.2,0.6,0.8,1.0,1.5,0.079452
100,4,0.2,0.7,0.8,0.0,2.0,0.083263
500,3,0.05,1.0,1.0,1.0,1.5,0.076908
300,3,0.01,0.8,1.0,0.1,1.0,0.07885
200,5,0.1,1.0,0.8,0.1,1.5,0.079584
300,3,0.01,0.6,0.8,0.1,1.5,0.079155
200,6,0.2,0.6,1.0,0.0,1.5,0.082091
