n_estimators,max_depth,learning_rate,subsample,min_samples_split,val_rmse
300,4,0.2,0.6,10,0.081524
300,3,0.01,0.6,5,0.072226
200,4,0.2,0.5,2,0.082227
500,4,0.1,0.7,5,0.077536
300,6,0.2,0.7,2,0.080482
200,3,0.1,0.7,10,0.074189
200,5,0.2,0.7,10,0.080153
100,4,0.01,0.8,2,0.086884
200,3,0.2,0.7,2,0.076094
500,6,0.1,0.7,10,0.07696
200,5,0.1,0.8,10,0.071821
300,3,0.1,0.5,10,0.076558
200,4,0.1,0.8,5,0.074364
100,4,0.05,0.7,5,0.073575
200,3,0.1,0.5,2,0.073244
500,3,0.01,0.6,5,0.072288
200,5,0.1,0.8,5,0.074493
200,3,0.1,0.5,5,0.074839
300,5,0.1,0.7,5,0.074885
300,3,0.05,0.8,2,0.073034
300,4,0.2,0.5,5,0.081299
100,6,0.01,0.5,10,0.084805
200,4,0.1,0.7,5,0.075682
500,6,0.2,0.6,5,0.076851
200,4,0.05,0.5,2,0.073251
500,6,0.1,0.5,2,0.078697
300,6,0.05,0.8,10,0.075319
200,4,0.1,0.6,10,0.077725
500,3,0.05,0.8,5,0.073751
300,4,0.01,0.7,2,0.071516
500,3,0.05,0.8,2,0.074146
300,3,0.1,0.5,2,0.075141
500,5,0.1,0.8,5,0.075506
500,4,0.2,0.8,10,0.076018
100,5,0.2,0.8,2,0.074852
300,5,0.2,0.6,10,0.077924
300,5,0.1,0.5,5,0.0782
100,4,0.2,0.8,2,0.074964
100,4,0.01,0.5,2,0.086339
100,5,0.05,0.6,5,0.073891
100,6,0.05,0.5,2,0.072001
500,6,0.05,0.5,2,0.075685
500,6,0.01,0.8,5,0.073447
500,3,0.1,0.8,5,0.07608
100,4,0.05,0.6,10,0.072841
300,3,0.01,0.8,5,0.071954
300,3,0.01,0.7,2,0.072256
500,5,0.1,0.8,10,0.073211
300,4,0.2,0.8,10,0.075746
300,6,0.05,0.5,5,0.076344
200,4,0.05,0.6,10,0.072679
300,6,0.2,0.5,10,0.087629
100,3,0.01,0.8,10,0.087748
100,5,0.05,0.8,2,0.072928
500,6,0.01,0.8,10,0.073282
500,5,0.05,0.5,5,0.077138
500,6,0.01,0.8,2,0.073163
500,6,0.2,0.8,5,0.078575
500,5,0.2,0.5,5,0.081889
300,4,0.05,0.5,5,0.075332
100,6,0.05,0.6,10,0.072892
500,5,0.05,0.8,2,0.075019
100,3,0.01,0.6,2,0.087776
500,4,0.1,0.5,5,0.078969
300,5,0.1,0.7,10,0.076076
100,6,0.2,0.5,10,0.08645
300,5,0.2,0.6,2,0.079408
100,5,0.05,0.5,2,0.072872
200,5,0.05,0.6,10,0.07445
500,4,0.01,0.6,10,0.071813
500,6,0.05,0.8,10,0.075665
500,4,0.05,0.5,2,0.076009
200,6,0.2,0.8,5,0.078261
100,6,0.05,0.8,2,0.072945
300,6,0.1,0.5,2,0.07823
300,6,0.05,0.6,2,0.074071
100,3,0.01,0.5,2,0.087772
200,5,0.2,0.7,5,0.079554
300,5,0.05,0.7,10,0.075243
100,3,0.05,0.7,5,0.072372
500,3,0.2,0.7,5,0.076243
200,6,0.1,0.8,10,0.076075
200,5,0.1,0.5,10,0.07783
200,4,0.01,0.6,10,0.073217
100,4,0.01,0.8,10,0.086885
200,4,0.01,0.7,2,0.073356
500,4,0.2,0.5,5,0.081449
500,5,0.2,0.6,2,0.079418
100,4,0.2,0.6,2,0.076964
300,5,0.05,0.6,10,0.075075
100,4,0.05,0.8,5,0.072662
300,6,0.05,0.6,10,0.07338
100,5,0.1,0.7,10,0.074527
100,5,0.1,0.8,10,0.07207
300,5,0.01,0.7,2,0.071959
300,6,0.1,0.8,5,0.077986
100,6,0.1,0.5,5,0.07871
500,6,0.2,0.8,10,0.081197
300,6,0.05,0.5,2,0.074491
300,4,0.01,0.5,5,0.071809
500,4,0.2,0.5,10,0.084599
500,3,0.1,0.5,10,0.078383
200,3,0.05,0.5,5,0.073144
200,5,0.1,0.7,5,0.073992
500,4,0.05,0.8,2,0.074521
500,6,0.2,0.7,10,0.078442
300,4,0.05,0.6,5,0.073122
300,6,0.01,0.5,5,0.072697
300,4,0.1,0.7,2,0.07613
100,5,0.1,0.6,2,0.076881
200,4,0.05,0.5,5,0.073955
200,3,0.2,0.5,10,0.077922
500,4,0.01,0.7,10,0.071753
200,6,0.01,0.8,5,0.073586
100,3,0.05,0.8,2,0.07214
200,3,0.2,0.7,5,0.073837
500,6,0.05,0.6,10,0.073791
100,3,0.01,0.7,5,0.087864
100,4,0.1,0.5,2,0.074334
100,4,0.05,0.5,2,0.072535
500,4,0.2,0.7,10,0.076656
100,4,0.05,0.8,2,0.072846
500,4,0.2,0.7,5,0.076783
200,6,0.01,0.5,10,0.073514
500,6,0.05,0.7,5,0.076709
300,5,0.2,0.8,5,0.07812
200,4,0.01,0.6,2,0.073171
200,4,0.2,0.8,2,0.075974
500,3,0.01,0.8,10,0.071759
200,3,0.1,0.6,2,0.075241
100,5,0.2,0.6,2,0.078932
300,5,0.01,0.6,5,0.071712
200,4,0.01,0.7,10,0.073301
500,3,0.01,0.8,2,0.071739
300,3,0.1,0.7,10,0.076573
200,3,0.01,0.5,10,0.074502
100,5,0.01,0.5,2,0.085194
500,6,0.01,0.5,5,0.073088
300,4,0.01,0.8,2,0.071907
200,6,0.1,0.5,10,0.079125
500,3,0.01,0.5,5,0.072036
300,3,0.2,0.5,2,0.080552
300,4,0.2,0.8,5,0.077015
100,4,0.01,0.7,5,0.086469
100,5,0.01,0.6,5,0.085128
100,4,0.05,0.5,10,0.072742
300,3,0.1,0.6,5,0.076056
200,6,0.01,0.8,10,0.073695
100,5,0.05,0.6,2,0.073139
200,4,0.05,0.5,10,0.073717
500,5,0.1,0.7,10,0.076766
500,4,0.01,0.6,2,0.071842
500,6,0.05,0.6,5,0.074898
100,5,0.2,0.8,10,0.075261
500,4,0.01,0.8,5,0.071989
100,6,0.2,0.7,5,0.078463
500,3,0.2,0.8,5,0.080707
500,5,0.01,0.6,5,0.072241
200,4,0.05,0.6,2,0.072568
100,4,0.1,0.6,10,0.076129
300,4,0.05,0.8,2,0.073558
300,6,0.01,0.6,5,0.07163
100,4,0.01,0.6,2,0.086139
100,3,0.05,0.6,2,0.072651
500,6,0.1,0.7,2,0.075478
200,4,0.01,0.5,10,0.073515
100,4,0.2,0.5,5,0.077107
200,3,0.05,0.6,5,0.073196
300,6,0.05,0.6,5,0.074305
500,5,0.1,0.8,2,0.077594
100,5,0.05,0.5,5,0.073815
300,4,0.01,0.8,5,0.071882
500,4,0.1,0.6,2,0.078862
300,6,0.2,0.6,5,0.076754
500,6,0.1,0.7,5,0.076591
100,4,0.2,0.5,2,0.079888
300,5,0.2,0.8,2,0.076933
100,3,0.01,0.5,5,0.087772
200,3,0.01,0.7,5,0.074571
500,5,0.01,0.7,5,0.07242
300,4,0.2,0.7,2,0.078023
300,3,0.05,0.6,10,0.074052
300,5,0.05,0.6,2,0.074121
200,3,0.2,0.6,5,0.078037
500,5,0.01,0.5,5,0.072293
500,3,0.01,0.5,2,0.072045
200,6,0.05,0.7,10,0.075535
200,6,0.2,0.5,10,0.087663
300,5,0.05,0.5,10,0.0755
500,5,0.05,0.8,5,0.075888
300,6,0.1,0.5,5,0.080516
500,6,0.01,0.5,2,0.072679
200,4,0.01,0.8,2,0.073689
100,4,0.1,0.7,5,0.074755
100,5,0.01,0.5,5,0.085167
100,6,0.01,0.7,5,0.084607
300,6,0.01,0.5,2,0.072298
100,3,0.1,0.6,10,0.073078
500,5,0.1,0.6,2,0.077831
200,6,0.2,0.6,5,0.076222
200,4,0.2,0.5,5,0.079883
100,3,0.1,0.7,5,0.073474
300,6,0.2,0.7,5,0.079385
100,6,0.05,0.6,5,0.073898
500,4,0.01,0.6,5,0.071899
500,6,0.2,0.8,2,0.081003
200,5,0.01,0.8,10,0.073353
200,4,0.01,0.6,5,0.073309
500,4,0.01,0.5,10,0.072278
