iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,val_rmse
100,10,0.1,5,0.5,0.073095
300,10,0.05,5,0.0,0.072839
500,10,0.2,5,0.0,0.073734
100,10,0.05,7,1.0,0.073245
300,6,0.2,3,1.0,0.076808
300,4,0.01,3,0.5,0.072668
200,6,0.2,1,0.0,0.077291
500,6,0.1,5,0.5,0.073677
300,10,0.2,5,0.0,0.073532
200,4,0.1,5,1.0,0.073226
200,8,0.2,5,1.0,0.074916
100,6,0.01,7,0.0,0.08883
200,4,0.2,5,0.0,0.074221
500,10,0.1,5,1.0,0.073034
200,8,0.1,7,1.0,0.071585
300,4,0.1,1,1.0,0.074828
200,6,0.1,7,0.5,0.073206
100,6,0.05,5,0.5,0.072782
200,4,0.1,1,0.0,0.073411
500,4,0.01,3,0.5,0.071742
200,8,0.1,7,0.5,0.071585
200,4,0.1,1,0.5,0.073411
300,8,0.1,5,0.5,0.070938
300,4,0.05,7,0.0,0.072115
300,6,0.2,1,0.5,0.077964
100,10,0.01,1,1.0,0.087631
200,6,0.1,5,0.5,0.072126
500,10,0.2,3,0.5,0.072849
200,6,0.05,1,0.0,0.0723
500,10,0.1,1,0.0,0.073278
300,10,0.05,7,1.0,0.072449
200,6,0.1,3,1.0,0.072348
500,4,0.05,7,0.5,0.072615
300,6,0.01,5,0.0,0.072338
500,4,0.05,7,0.0,0.072615
300,4,0.1,1,0.0,0.074828
500,8,0.1,7,0.5,0.072399
500,6,0.2,7,1.0,0.076903
100,8,0.2,7,0.0,0.074127
300,8,0.2,3,1.0,0.075967
300,8,0.1,1,0.5,0.072237
100,6,0.2,7,0.0,0.07372
100,6,0.01,1,0.0,0.0872
100,8,0.05,3,0.5,0.071047
100,10,0.05,1,0.0,0.071916
500,10,0.05,1,0.0,0.072153
500,10,0.01,7,0.5,0.072838
500,4,0.1,7,0.5,0.074181
100,6,0.05,3,1.0,0.073184
300,4,0.01,7,0.5,0.072832
300,4,0.01,5,0.0,0.072684
500,8,0.1,7,1.0,0.072399
300,6,0.2,7,1.0,0.075855
300,10,0.05,1,0.5,0.071867
200,6,0.05,3,1.0,0.072614
300,10,0.2,1,1.0,0.07532
100,4,0.01,7,1.0,0.08873
100,8,0.05,7,0.0,0.07189
500,10,0.01,7,1.0,0.072838
500,8,0.05,1,0.5,0.072617
500,10,0.01,7,0.0,0.072838
500,10,0.2,7,0.5,0.073495
500,8,0.2,1,0.5,0.075295
300,6,0.05,1,0.5,0.072886
100,10,0.05,3,1.0,0.073201
500,8,0.05,7,0.0,0.071619
100,4,0.01,3,0.0,0.088378
500,6,0.1,1,0.5,0.074326
300,8,0.1,5,1.0,0.070938
100,10,0.2,1,1.0,0.07529
300,8,0.2,3,0.0,0.075967
100,8,0.05,1,0.0,0.070817
200,8,0.05,3,1.0,0.071042
500,6,0.01,3,1.0,0.071381
500,10,0.05,7,1.0,0.072227
500,6,0.05,1,0.0,0.074457
200,10,0.2,7,0.5,0.073106
100,10,0.05,7,0.0,0.073245
300,10,0.1,1,0.0,0.073298
300,10,0.05,3,0.0,0.073211
100,4,0.01,1,0.0,0.088104
200,8,0.2,5,0.5,0.074916
300,8,0.05,5,1.0,0.071722
100,4,0.05,5,0.5,0.072945
500,4,0.2,5,0.5,0.078158
200,10,0.1,7,1.0,0.072019
200,8,0.1,1,1.0,0.071883
200,6,0.01,3,1.0,0.074656
100,6,0.01,7,1.0,0.08883
200,6,0.01,5,0.0,0.075048
500,6,0.2,1,0.5,0.078695
500,8,0.2,3,0.0,0.076253
100,6,0.2,3,0.0,0.074339
300,8,0.05,3,1.0,0.071301
100,6,0.05,7,0.5,0.072372
300,10,0.05,3,1.0,0.073211
100,8,0.1,5,1.0,0.071365
100,8,0.1,7,1.0,0.071835
300,8,0.01,5,0.0,0.072263
300,10,0.1,7,0.5,0.07186
100,10,0.1,1,0.5,0.073502
500,10,0.2,7,1.0,0.073495
300,10,0.05,1,0.0,0.071867
300,6,0.01,1,0.5,0.072145
500,6,0.2,1,1.0,0.078695
500,4,0.1,1,1.0,0.076398
200,4,0.05,1,0.5,0.072593
200,8,0.1,5,0.5,0.070913
500,6,0.05,7,0.0,0.072759
500,10,0.2,5,1.0,0.073734
300,6,0.05,3,0.5,0.072768
300,10,0.01,1,0.5,0.072741
300,6,0.1,5,0.0,0.072888
100,8,0.1,3,0.0,0.071841
200,6,0.05,1,0.5,0.0723
200,4,0.2,1,1.0,0.07679
500,6,0.01,5,1.0,0.071657
200,10,0.01,7,0.5,0.077512
100,4,0.05,7,0.0,0.072772
200,4,0.2,5,0.5,0.074221
500,10,0.05,3,1.0,0.07351
100,4,0.01,5,0.5,0.088603
100,6,0.1,1,0.0,0.07214
100,6,0.05,1,0.0,0.072399
500,6,0.2,5,1.0,0.075832
100,6,0.05,7,0.0,0.072372
500,6,0.2,5,0.5,0.075832
200,10,0.01,1,1.0,0.074967
500,10,0.05,5,0.5,0.072685
300,8,0.2,7,0.5,0.075981
200,6,0.01,3,0.0,0.074656
200,6,0.2,7,0.0,0.074973
500,4,0.01,7,1.0,0.071953
200,4,0.1,3,0.0,0.07342
100,8,0.2,3,0.0,0.073846
300,8,0.01,3,0.5,0.07195
200,6,0.01,5,1.0,0.075048
500,4,0.01,7,0.0,0.071953
300,4,0.1,5,1.0,0.074165
200,4,0.01,1,1.0,0.075054
100,8,0.01,1,0.0,0.086343
500,10,0.01,1,0.5,0.072399
300,6,0.01,7,0.0,0.072517
200,10,0.1,1,1.0,0.073285
500,4,0.01,1,0.5,0.071614
300,4,0.2,1,0.0,0.077744
300,6,0.2,7,0.5,0.075855
100,6,0.01,5,0.5,0.088507
100,8,0.01,3,0.5,0.087469
100,6,0.05,1,1.0,0.072399
300,4,0.1,3,0.5,0.07387
200,10,0.01,7,1.0,0.077512
100,8,0.05,3,0.0,0.071047
200,6,0.05,1,1.0,0.0723
500,8,0.1,5,1.0,0.071578
500,6,0.01,3,0.0,0.071381
500,10,0.05,3,0.5,0.07351
100,8,0.2,7,1.0,0.074127
500,6,0.01,7,0.5,0.071722
100,10,0.2,5,0.5,0.072683
500,4,0.2,7,0.5,0.078811
500,8,0.01,3,0.5,0.071389
200,6,0.05,3,0.0,0.072614
100,6,0.1,3,1.0,0.07137
300,6,0.05,7,0.0,0.072706
300,10,0.01,3,0.5,0.073001
100,6,0.01,3,0.0,0.087854
100,4,0.05,3,0.0,0.072712
500,10,0.1,5,0.0,0.073034
200,6,0.01,1,1.0,0.074493
100,6,0.2,1,0.5,0.076074
200,4,0.05,3,0.5,0.072111
300,10,0.05,3,0.5,0.073211
500,8,0.1,7,0.0,0.072399
100,8,0.05,1,0.5,0.070817
300,6,0.01,7,0.5,0.072517
500,6,0.1,3,0.0,0.075349
300,10,0.2,3,0.5,0.072809
500,10,0.1,5,0.5,0.073034
100,6,0.2,1,0.0,0.076074
300,8,0.2,7,0.0,0.075981
100,4,0.01,1,0.5,0.088104
200,4,0.01,5,0.5,0.075361
500,8,0.01,5,0.5,0.071712
300,6,0.2,5,0.0,0.07494
300,4,0.05,3,1.0,0.072648
300,8,0.05,3,0.0,0.071301
200,4,0.2,3,0.5,0.074761
500,8,0.01,1,0.5,0.071464
500,4,0.01,1,0.0,0.071614
200,10,0.05,5,1.0,0.072485
200,10,0.2,1,1.0,0.075335
300,8,0.05,1,1.0,0.07184
500,8,0.05,7,0.5,0.071619
300,10,0.1,1,0.5,0.073298
500,10,0.01,1,0.0,0.072399
200,6,0.01,7,0.0,0.075327
100,6,0.1,5,0.5,0.07188
100,8,0.01,1,0.5,0.086343
100,10,0.01,5,0.5,0.090589
300,10,0.01,1,0.0,0.072741
100,4,0.1,3,1.0,0.072118
500,8,0.1,3,0.0,0.07349
200,10,0.2,3,0.5,0.072541
200,6,0.2,1,0.5,0.077291
100,4,0.1,5,0.5,0.07265
300,10,0.2,5,0.5,0.073532
100,10,0.05,3,0.5,0.073201
500,6,0.01,3,0.5,0.071381
500,10,0.2,7,0.0,0.073495
200,8,0.01,7,1.0,0.075351
200,6,0.01,3,0.5,0.074656
500,6,0.01,1,1.0,0.071446
