iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,val_rmse
500,4,0.1,7,0.5,0.082964
100,6,0.05,3,1.0,0.078731
300,4,0.01,7,0.5,0.0816
300,4,0.01,5,0.0,0.081404
500,8,0.1,7,1.0,0.082597
300,6,0.2,7,1.0,0.084889
300,10,0.05,1,0.5,0.081841
200,6,0.05,3,1.0,0.078856
300,10,0.2,1,1.0,0.08876
100,4,0.01,7,1.0,0.120567
100,8,0.05,7,0.0,0.078154
500,10,0.01,7,1.0,0.079868
500,8,0.05,1,0.5,0.082046
500,10,0.01,7,0.0,0.079868
500,10,0.2,7,0.5,0.084563
500,8,0.2,1,0.5,0.089386
300,6,0.05,1,0.5,0.079657
100,10,0.05,3,1.0,0.080405
500,8,0.05,7,0.0,0.08019
100,4,0.01,3,0.0,0.119737
500,6,0.1,1,0.5,0.084154
300,8,0.1,5,1.0,0.081683
100,10,0.2,1,1.0,0.087424
300,8,0.2,3,0.0,0.086642
100,8,0.05,1,0.0,0.079187
200,8,0.05,3,1.0,0.078754
500,6,0.01,3,1.0,0.078548
500,10,0.05,7,1.0,0.082289
500,6,0.05,1,0.0,0.080884
200,10,0.2,7,0.5,0.082785
100,10,0.05,7,0.0,0.081439
300,10,0.1,1,0.0,0.081593
300,10,0.05,3,0.0,0.080965
100,4,0.01,1,0.0,0.119492
200,8,0.2,5,0.5,0.085932
300,8,0.05,5,1.0,0.080366
100,4,0.05,5,0.5,0.08069
500,4,0.2,5,0.5,0.086068
200,10,0.1,7,1.0,0.080965
200,8,0.1,1,1.0,0.081582
200,6,0.01,3,1.0,0.088291
100,6,0.01,7,1.0,0.12125
200,6,0.01,5,0.0,0.088859
500,6,0.2,1,0.5,0.086807
500,8,0.2,3,0.0,0.08719
100,6,0.2,3,0.0,0.081181
300,8,0.05,3,1.0,0.079057
100,6,0.05,7,0.5,0.07848
300,10,0.05,3,1.0,0.080965
100,8,0.1,5,1.0,0.079505
100,8,0.1,7,1.0,0.079158
300,8,0.01,5,0.0,0.080907
300,10,0.1,7,0.5,0.081267
100,10,0.1,1,0.5,0.080041
500,10,0.2,7,1.0,0.084563
300,10,0.05,1,0.0,0.081841
300,6,0.01,1,0.5,0.080482
500,6,0.2,1,1.0,0.086807
500,4,0.1,1,1.0,0.082819
200,4,0.05,1,0.5,0.080776
200,8,0.1,5,0.5,0.080761
500,6,0.05,7,0.0,0.080507
500,10,0.2,5,1.0,0.08771
300,6,0.05,3,0.5,0.079139
300,10,0.01,1,0.5,0.080921
300,6,0.1,5,0.0,0.081878
100,8,0.1,3,0.0,0.079376
200,6,0.05,1,0.5,0.078883
200,4,0.2,1,1.0,0.085625
500,6,0.01,5,1.0,0.078632
200,10,0.01,7,0.5,0.093342
100,4,0.05,7,0.0,0.080061
200,4,0.2,5,0.5,0.084227
500,10,0.05,3,1.0,0.081698
100,4,0.01,5,0.5,0.120379
100,6,0.1,1,0.0,0.08035
100,6,0.05,1,0.0,0.078473
500,6,0.2,5,1.0,0.085923
100,6,0.05,7,0.0,0.07848
500,6,0.2,5,0.5,0.085923
200,10,0.01,1,1.0,0.088011
500,10,0.05,5,0.5,0.081129
300,8,0.2,7,0.5,0.085769
200,6,0.01,3,0.0,0.088291
200,6,0.2,7,0.0,0.083747
500,4,0.01,7,1.0,0.079098
200,4,0.1,3,0.0,0.07871
100,8,0.2,3,0.0,0.084477
300,8,0.01,3,0.5,0.080465
200,6,0.01,5,1.0,0.088859
500,4,0.01,7,0.0,0.079098
300,4,0.1,5,1.0,0.082017
200,4,0.01,1,1.0,0.08872
100,8,0.01,1,0.0,0.117157
500,10,0.01,1,0.5,0.07896
300,6,0.01,7,0.0,0.081371
200,10,0.1,1,1.0,0.081368
500,4,0.01,1,0.5,0.078979
300,4,0.2,1,0.0,0.08762
300,6,0.2,7,0.5,0.084889
100,6,0.01,5,0.5,0.1201
100,8,0.01,3,0.5,0.118772
100,6,0.05,1,1.0,0.078473
300,4,0.1,3,0.5,0.080269
200,10,0.01,7,1.0,0.093342
100,8,0.05,3,0.0,0.078732
200,6,0.05,1,1.0,0.078883
500,8,0.1,5,1.0,0.083241
500,6,0.01,3,0.0,0.078548
500,10,0.05,3,0.5,0.081698
100,8,0.2,7,1.0,0.082072
500,6,0.01,7,0.5,0.078843
100,10,0.2,5,0.5,0.084523
500,4,0.2,7,0.5,0.087322
500,8,0.01,3,0.5,0.07858
200,6,0.05,3,0.0,0.078856
100,6,0.1,3,1.0,0.080481
300,6,0.05,7,0.0,0.079002
300,10,0.01,3,0.5,0.082786
100,6,0.01,3,0.0,0.119303
100,4,0.05,3,0.0,0.080671
500,10,0.1,5,0.0,0.082774
200,6,0.01,1,1.0,0.087641
100,6,0.2,1,0.5,0.081829
200,4,0.05,3,0.5,0.080538
300,10,0.05,3,0.5,0.080965
500,8,0.1,7,0.0,0.082597
100,8,0.05,1,0.5,0.079187
300,6,0.01,7,0.5,0.081371
500,6,0.1,3,0.0,0.084555
300,10,0.2,3,0.5,0.084581
500,10,0.1,5,0.5,0.082774
100,6,0.2,1,0.0,0.081829
300,8,0.2,7,0.0,0.085769
100,4,0.01,1,0.5,0.119492
200,4,0.01,5,0.5,0.089325
500,8,0.01,5,0.5,0.078395
300,6,0.2,5,0.0,0.085137
300,4,0.05,3,1.0,0.081099
300,8,0.05,3,0.0,0.079057
200,4,0.2,3,0.5,0.083589
500,8,0.01,1,0.5,0.078314
500,4,0.01,1,0.0,0.078979
200,10,0.05,5,1.0,0.080524
200,10,0.2,1,1.0,0.08849
300,8,0.05,1,1.0,0.08065
500,8,0.05,7,0.5,0.08019
300,10,0.1,1,0.5,0.081593
500,10,0.01,1,0.0,0.07896
200,6,0.01,7,0.0,0.089609
100,6,0.1,5,0.5,0.079452
100,8,0.01,1,0.5,0.117157
100,10,0.01,5,0.5,0.125292
300,10,0.01,1,0.0,0.080921
100,4,0.1,3,1.0,0.078141
500,8,0.1,3,0.0,0.082126
200,10,0.2,3,0.5,0.084264
200,6,0.2,1,0.5,0.084319
100,4,0.1,5,0.5,0.079003
300,10,0.2,5,0.5,0.087629
100,10,0.05,3,0.5,0.080405
500,6,0.01,3,0.5,0.078548
500,10,0.2,7,0.0,0.084563
200,8,0.01,7,1.0,0.08933
200,6,0.01,3,0.5,0.088291
500,6,0.01,1,1.0,0.078768
