iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,val_rmse
100,8,0.05,3,0.5,0.071552
100,10,0.05,1,0.0,0.073043
500,10,0.05,1,0.0,0.073761
500,10,0.01,7,0.5,0.072581
500,4,0.1,7,0.5,0.074323
100,6,0.05,3,1.0,0.07207
300,4,0.01,7,0.5,0.072818
300,4,0.01,5,0.0,0.072814
500,8,0.1,7,1.0,0.073901
300,6,0.2,7,1.0,0.074827
300,10,0.05,1,0.5,0.073374
200,6,0.05,3,1.0,0.072112
300,10,0.2,1,1.0,0.079602
100,4,0.01,7,1.0,0.08915
100,8,0.05,7,0.0,0.071933
500,10,0.01,7,1.0,0.072581
500,8,0.05,1,0.5,0.07236
500,10,0.01,7,0.0,0.072581
500,10,0.2,7,0.5,0.077076
500,8,0.2,1,0.5,0.076361
300,6,0.05,1,0.5,0.072524
100,10,0.05,3,1.0,0.072556
500,8,0.05,7,0.0,0.072625
100,4,0.01,3,0.0,0.088879
500,6,0.1,1,0.5,0.074259
300,8,0.1,5,1.0,0.074027
100,10,0.2,1,1.0,0.079276
300,8,0.2,3,0.0,0.07688
100,8,0.05,1,0.0,0.071724
200,8,0.05,3,1.0,0.072044
500,6,0.01,3,1.0,0.072078
500,10,0.05,7,1.0,0.073014
500,6,0.05,1,0.0,0.073239
200,10,0.2,7,0.5,0.076169
100,10,0.05,7,0.0,0.072912
300,10,0.1,1,0.0,0.074837
300,10,0.05,3,0.0,0.072718
100,4,0.01,1,0.0,0.088464
200,8,0.2,5,0.5,0.076123
300,8,0.05,5,1.0,0.071552
100,4,0.05,5,0.5,0.07231
500,4,0.2,5,0.5,0.07758
200,10,0.1,7,1.0,0.072298
200,8,0.1,1,1.0,0.074969
200,6,0.01,3,1.0,0.074897
100,6,0.01,7,1.0,0.089031
200,6,0.01,5,0.0,0.074936
500,6,0.2,1,0.5,0.077646
500,8,0.2,3,0.0,0.076936
100,6,0.2,3,0.0,0.074531
300,8,0.05,3,1.0,0.072524
100,6,0.05,7,0.5,0.072377
300,10,0.05,3,1.0,0.072718
100,8,0.1,5,1.0,0.073027
100,8,0.1,7,1.0,0.072614
300,8,0.01,5,0.0,0.072273
300,10,0.1,7,0.5,0.07282
100,10,0.1,1,0.5,0.073313
500,10,0.2,7,1.0,0.077076
300,10,0.05,1,0.0,0.073374
300,6,0.01,1,0.5,0.072313
500,6,0.2,1,1.0,0.077646
500,4,0.1,1,1.0,0.077535
200,4,0.05,1,0.5,0.071733
200,8,0.1,5,0.5,0.073465
500,6,0.05,7,0.0,0.073101
500,10,0.2,5,1.0,0.077675
300,6,0.05,3,0.5,0.072492
300,10,0.01,1,0.5,0.072414
300,6,0.1,5,0.0,0.074573
100,8,0.1,3,0.0,0.073044
200,6,0.05,1,0.5,0.071854
200,4,0.2,1,1.0,0.074705
500,6,0.01,5,1.0,0.072075
200,10,0.01,7,0.5,0.076955
100,4,0.05,7,0.0,0.072252
200,4,0.2,5,0.5,0.076509
500,10,0.05,3,1.0,0.072775
100,4,0.01,5,0.5,0.089068
100,6,0.1,1,0.0,0.072836
100,6,0.05,1,0.0,0.072167
500,6,0.2,5,1.0,0.077868
100,6,0.05,7,0.0,0.072377
500,6,0.2,5,0.5,0.077868
200,10,0.01,1,1.0,0.074799
500,10,0.05,5,0.5,0.073349
300,8,0.2,7,0.5,0.075076
200,6,0.01,3,0.0,0.074897
200,6,0.2,7,0.0,0.073954
500,4,0.01,7,1.0,0.07231
200,4,0.1,3,0.0,0.073611
100,8,0.2,3,0.0,0.074613
300,8,0.01,3,0.5,0.072085
200,6,0.01,5,1.0,0.074936
500,4,0.01,7,0.0,0.07231
300,4,0.1,5,1.0,0.075719
200,4,0.01,1,1.0,0.07525
100,8,0.01,1,0.0,0.086684
500,10,0.01,1,0.5,0.072146
300,6,0.01,7,0.0,0.072732
200,10,0.1,1,1.0,0.074496
500,4,0.01,1,0.5,0.072292
300,4,0.2,1,0.0,0.07491
300,6,0.2,7,0.5,0.074827
100,6,0.01,5,0.5,0.088327
100,8,0.01,3,0.5,0.087613
100,6,0.05,1,1.0,0.072167
300,4,0.1,3,0.5,0.074562
200,10,0.01,7,1.0,0.076955
100,8,0.05,3,0.0,0.071552
200,6,0.05,1,1.0,0.071854
500,8,0.1,5,1.0,0.074755
500,6,0.01,3,0.0,0.072078
500,10,0.05,3,0.5,0.072775
100,8,0.2,7,1.0,0.075183
500,6,0.01,7,0.5,0.072247
100,10,0.2,5,0.5,0.075965
500,4,0.2,7,0.5,0.074328
500,8,0.01,3,0.5,0.071871
200,6,0.05,3,0.0,0.072112
100,6,0.1,3,1.0,0.072416
300,6,0.05,7,0.0,0.072682
300,10,0.01,3,0.5,0.072818
100,6,0.01,3,0.0,0.088111
100,4,0.05,3,0.0,0.072057
500,10,0.1,5,0.0,0.074946
200,6,0.01,1,1.0,0.074506
100,6,0.2,1,0.5,0.07547
200,4,0.05,3,0.5,0.072152
300,10,0.05,3,0.5,0.072718
500,8,0.1,7,0.0,0.073901
100,8,0.05,1,0.5,0.071724
300,6,0.01,7,0.5,0.072732
500,6,0.1,3,0.0,0.074308
300,10,0.2,3,0.5,0.076961
500,10,0.1,5,0.5,0.074946
100,6,0.2,1,0.0,0.07547
300,8,0.2,7,0.0,0.075076
100,4,0.01,1,0.5,0.088464
200,4,0.01,5,0.5,0.075456
500,8,0.01,5,0.5,0.072034
300,6,0.2,5,0.0,0.076768
300,4,0.05,3,1.0,0.072482
300,8,0.05,3,0.0,0.072524
200,4,0.2,3,0.5,0.076648
500,8,0.01,1,0.5,0.071496
500,4,0.01,1,0.0,0.072292
200,10,0.05,5,1.0,0.072795
200,10,0.2,1,1.0,0.079472
300,8,0.05,1,1.0,0.071863
500,8,0.05,7,0.5,0.072625
300,10,0.1,1,0.5,0.074837
500,10,0.01,1,0.0,0.072146
200,6,0.01,7,0.0,0.075396
100,6,0.1,5,0.5,0.072077
100,8,0.01,1,0.5,0.086684
100,10,0.01,5,0.5,0.090553
300,10,0.01,1,0.0,0.072414
100,4,0.1,3,1.0,0.073024
500,8,0.1,3,0.0,0.075184
200,10,0.2,3,0.5,0.076806
200,6,0.2,1,0.5,0.076488
100,4,0.1,5,0.5,0.073525
300,10,0.2,5,0.5,0.077508
100,10,0.05,3,0.5,0.072556
500,6,0.01,3,0.5,0.072078
500,10,0.2,7,0.0,0.077076
200,8,0.01,7,1.0,0.075176
200,6,0.01,3,0.5,0.074897
500,6,0.01,1,1.0,0.072177
