n_estimators,max_depth,learning_rate,subsample,min_samples_split,val_rmse
200,3,0.1,0.5,2,0.080748
500,3,0.01,0.6,5,0.077395
200,5,0.1,0.8,5,0.079016
200,3,0.1,0.5,5,0.080965
300,5,0.1,0.7,5,0.081659
300,3,0.05,0.8,2,0.077687
300,4,0.2,0.5,5,0.086836
100,6,0.01,0.5,10,0.110076
200,4,0.1,0.7,5,0.083473
500,6,0.2,0.6,5,0.088665
200,4,0.05,0.5,2,0.077826
500,6,0.1,0.5,2,0.085597
300,6,0.05,0.8,10,0.079826
200,4,0.1,0.6,10,0.080553
500,3,0.05,0.8,5,0.079738
300,4,0.01,0.7,2,0.077891
500,3,0.05,0.8,2,0.079029
300,3,0.1,0.5,2,0.081695
500,5,0.1,0.8,5,0.080613
500,4,0.2,0.8,10,0.085249
100,5,0.2,0.8,2,0.082915
300,5,0.2,0.6,10,0.087979
300,5,0.1,0.5,5,0.086023
100,4,0.2,0.8,2,0.082238
100,4,0.01,0.5,2,0.112186
100,5,0.05,0.6,5,0.077695
100,6,0.05,0.5,2,0.079546
500,6,0.05,0.5,2,0.082084
500,6,0.01,0.8,5,0.077083
500,3,0.1,0.8,5,0.085616
100,4,0.05,0.6,10,0.076693
300,3,0.01,0.8,5,0.078575
300,3,0.01,0.7,2,0.079178
500,5,0.1,0.8,10,0.081756
300,4,0.2,0.8,10,0.084389
300,6,0.05,0.5,5,0.080163
200,4,0.05,0.6,10,0.077845
300,6,0.2,0.5,10,0.091445
100,3,0.01,0.8,10,0.114157
100,5,0.05,0.8,2,0.07784
500,6,0.01,0.8,10,0.076928
500,5,0.05,0.5,5,0.083007
500,6,0.01,0.8,2,0.077259
500,6,0.2,0.8,5,0.082267
500,5,0.2,0.5,5,0.090699
300,4,0.05,0.5,5,0.079193
100,6,0.05,0.6,10,0.077551
500,5,0.05,0.8,2,0.080048
100,3,0.01,0.6,2,0.114067
500,4,0.1,0.5,5,0.088724
300,5,0.1,0.7,10,0.083199
100,6,0.2,0.5,10,0.0906
300,5,0.2,0.6,2,0.088544
100,5,0.05,0.5,2,0.077549
200,5,0.05,0.6,10,0.078413
500,4,0.01,0.6,10,0.077196
500,6,0.05,0.8,10,0.080237
500,4,0.05,0.5,2,0.08173
200,6,0.2,0.8,5,0.082228
100,6,0.05,0.8,2,0.077381
300,6,0.1,0.5,2,0.08526
300,6,0.05,0.6,2,0.079775
100,3,0.01,0.5,2,0.114114
200,5,0.2,0.7,5,0.08462
300,5,0.05,0.7,10,0.078308
100,3,0.05,0.7,5,0.079003
500,3,0.2,0.7,5,0.091085
200,6,0.1,0.8,10,0.081874
200,5,0.1,0.5,10,0.082079
200,4,0.01,0.6,10,0.083153
100,4,0.01,0.8,10,0.112525
200,4,0.01,0.7,2,0.083158
500,4,0.2,0.5,5,0.087619
500,5,0.2,0.6,2,0.088773
100,4,0.2,0.6,2,0.082751
300,5,0.05,0.6,10,0.07918
100,4,0.05,0.8,5,0.076264
300,6,0.05,0.6,10,0.079329
100,5,0.1,0.7,10,0.079983
100,5,0.1,0.8,10,0.077605
300,5,0.01,0.7,2,0.077026
300,6,0.1,0.8,5,0.080343
100,6,0.1,0.5,5,0.082082
500,6,0.2,0.8,10,0.083347
300,6,0.05,0.5,2,0.080736
300,4,0.01,0.5,5,0.077181
500,4,0.2,0.5,10,0.092539
500,3,0.1,0.5,10,0.08373
200,3,0.05,0.5,5,0.078832
200,5,0.1,0.7,5,0.081199
500,4,0.05,0.8,2,0.07884
500,6,0.2,0.7,10,0.088302
300,4,0.05,0.6,5,0.078639
300,6,0.01,0.5,5,0.077094
300,4,0.1,0.7,2,0.084464
100,5,0.1,0.6,2,0.080223
200,4,0.05,0.5,5,0.077815
200,3,0.2,0.5,10,0.085371
500,4,0.01,0.7,10,0.077713
200,6,0.01,0.8,5,0.081267
100,3,0.05,0.8,2,0.078239
200,3,0.2,0.7,5,0.085794
500,6,0.05,0.6,10,0.08115
100,3,0.01,0.7,5,0.114181
100,4,0.1,0.5,2,0.081958
100,4,0.05,0.5,2,0.076617
500,4,0.2,0.7,10,0.088052
100,4,0.05,0.8,2,0.07621
500,4,0.2,0.7,5,0.085789
200,6,0.01,0.5,10,0.081361
500,6,0.05,0.7,5,0.081659
300,5,0.2,0.8,5,0.083314
200,4,0.01,0.6,2,0.083013
200,4,0.2,0.8,2,0.083654
500,3,0.01,0.8,10,0.077218
200,3,0.1,0.6,2,0.080093
100,5,0.2,0.6,2,0.087091
300,5,0.01,0.6,5,0.076908
200,4,0.01,0.7,10,0.083162
500,3,0.01,0.8,2,0.077176
300,3,0.1,0.7,10,0.081222
200,3,0.01,0.5,10,0.084776
100,5,0.01,0.5,2,0.110778
500,6,0.01,0.5,5,0.077542
300,4,0.01,0.8,2,0.077595
200,6,0.1,0.5,10,0.082092
500,3,0.01,0.5,5,0.077438
300,3,0.2,0.5,2,0.085479
300,4,0.2,0.8,5,0.083969
100,4,0.01,0.7,5,0.112465
100,5,0.01,0.6,5,0.110631
100,4,0.05,0.5,10,0.07743
300,3,0.1,0.6,5,0.08196
200,6,0.01,0.8,10,0.081148
100,5,0.05,0.6,2,0.077672
200,4,0.05,0.5,10,0.07973
500,5,0.1,0.7,10,0.08383
500,4,0.01,0.6,2,0.077141
500,6,0.05,0.6,5,0.080109
100,5,0.2,0.8,10,0.080923
500,4,0.01,0.8,5,0.077003
100,6,0.2,0.7,5,0.08104
500,3,0.2,0.8,5,0.086223
500,5,0.01,0.6,5,0.077224
200,4,0.05,0.6,2,0.076881
100,4,0.1,0.6,10,0.0789
300,4,0.05,0.8,2,0.077354
300,6,0.01,0.6,5,0.07609
100,4,0.01,0.6,2,0.112441
100,3,0.05,0.6,2,0.078044
500,6,0.1,0.7,2,0.083676
200,4,0.01,0.5,10,0.082743
100,4,0.2,0.5,5,0.086938
200,3,0.05,0.6,5,0.078349
300,6,0.05,0.6,5,0.079305
500,5,0.1,0.8,2,0.08156
100,5,0.05,0.5,5,0.079401
300,4,0.01,0.8,5,0.077615
500,4,0.1,0.6,2,0.085945
300,6,0.2,0.6,5,0.088718
500,6,0.1,0.7,5,0.080507
100,4,0.2,0.5,2,0.087717
300,5,0.2,0.8,2,0.083853
100,3,0.01,0.5,5,0.114114
200,3,0.01,0.7,5,0.084911
500,5,0.01,0.7,5,0.077283
300,4,0.2,0.7,2,0.085423
300,3,0.05,0.6,10,0.079228
300,5,0.05,0.6,2,0.080014
200,3,0.2,0.6,5,0.083779
500,5,0.01,0.5,5,0.076698
500,3,0.01,0.5,2,0.077441
200,6,0.05,0.7,10,0.080167
200,6,0.2,0.5,10,0.091309
300,5,0.05,0.5,10,0.081225
500,5,0.05,0.8,5,0.078908
300,6,0.1,0.5,5,0.084178
500,6,0.01,0.5,2,0.0778
200,4,0.01,0.8,2,0.083208
100,4,0.1,0.7,5,0.081526
100,5,0.01,0.5,5,0.110608
100,6,0.01,0.7,5,0.10953
300,6,0.01,0.5,2,0.077063
100,3,0.1,0.6,10,0.07823
500,5,0.1,0.6,2,0.082797
200,6,0.2,0.6,5,0.088568
200,4,0.2,0.5,5,0.085956
100,3,0.1,0.7,5,0.078997
300,6,0.2,0.7,5,0.080935
100,6,0.05,0.6,5,0.077488
500,4,0.01,0.6,5,0.076959
500,6,0.2,0.8,2,0.08324
200,5,0.01,0.8,10,0.081757
200,4,0.01,0.6,5,0.083067
500,4,0.01,0.5,10,0.076906
