n_estimators,num_leaves,learning_rate,subsample,colsample_bytree,min_child_samples,val_rmse
500,31,0.1,0.6,0.8,10,0.085977
500,63,0.01,0.6,1.0,20,0.085179
100,127,0.2,1.0,1.0,20,0.089925
100,63,0.01,0.6,1.0,30,0.095051
500,31,0.1,0.8,0.8,30,0.087754
100,63,0.1,0.6,0.6,30,0.083918
200,31,0.1,0.6,0.6,30,0.086156
100,63,0.05,0.6,0.8,30,0.083053
500,127,0.05,0.6,0.8,10,0.086479
100,63,0.05,0.6,0.8,20,0.083702
200,63,0.05,1.0,0.8,20,0.084549
300,63,0.1,0.8,1.0,20,0.087647
100,127,0.05,0.6,0.6,30,0.082466
500,63,0.2,0.6,0.8,30,0.085948
200,63,0.1,1.0,0.6,10,0.083728
500,63,0.2,1.0,1.0,10,0.08633
500,127,0.05,0.6,0.6,30,0.085971
100,31,0.2,0.6,0.6,10,0.085276
500,127,0.1,1.0,1.0,30,0.087087
100,63,0.1,0.6,0.8,30,0.084482
300,63,0.2,1.0,0.8,10,0.087555
500,63,0.1,1.0,0.8,30,0.086347
500,31,0.2,0.8,1.0,30,0.089632
200,127,0.2,1.0,1.0,30,0.088311
200,63,0.2,1.0,0.8,10,0.087549
200,31,0.2,0.8,0.8,20,0.089634
200,127,0.2,1.0,0.8,20,0.08687
200,63,0.1,0.6,0.6,30,0.085346
100,127,0.05,1.0,1.0,20,0.085363
200,127,0.1,1.0,0.6,30,0.085346
300,127,0.1,1.0,0.6,10,0.084657
100,63,0.05,0.8,0.8,20,0.083702
100,31,0.01,1.0,0.6,20,0.093784
300,127,0.1,1.0,0.6,30,0.085455
500,127,0.2,0.6,0.8,10,0.085751
500,63,0.1,1.0,0.6,20,0.085932
100,63,0.2,0.8,1.0,10,0.086191
100,63,0.05,0.8,1.0,10,0.084888
500,63,0.01,1.0,0.8,10,0.084148
200,63,0.01,0.6,0.8,20,0.083467
500,31,0.1,0.8,0.6,20,0.086102
100,127,0.1,0.6,0.6,20,0.083677
300,31,0.1,0.8,0.8,10,0.085707
200,63,0.1,0.8,0.8,30,0.085759
300,63,0.01,0.6,0.6,10,0.081807
200,127,0.05,0.8,1.0,20,0.085899
500,63,0.05,0.6,0.8,30,0.085993
200,127,0.1,1.0,1.0,20,0.085817
500,127,0.1,0.8,0.6,20,0.084763
100,31,0.01,0.8,1.0,20,0.095019
500,63,0.1,0.6,0.6,20,0.085932
